Order_ID,Order_Date,Year,Month,Quarter,Country,City,Product,Fuel_Type,Customer_Segment,Sales_Channel,Dealer,Salesperson,Quantity,Unit_Price,Gross_Sales,Discount_Pct,Discount_Amount,Sales,Cost,Profit,Profit_Margin_Pct,Tax_Rate_Pct,Tax,Shipping_Cost,Returns,Customer_Rating,Delivery_Days,Payment_Method
ORD202400001,2024-01-01 00:00:00.000000000,2024,1,Q1,Italy,Mumbai,Ships,Petrol,Fleet,Distributor,Speed Wheels,Ananya,3,102875.23,308625.7,1.7,5246.64,303379.07,250081.42,53297.65,17.57,18.0,54608.23,12908.57,0,4.3,13,Finance
ORD202400002,2024-01-01 14:36:43.836530442,2024,1,Q1,Switzerland,Madrid,Ships,Hybrid,Retail,Online,Speed Wheels,Sneha,3,72558.64,217675.92,15.4,33522.09,184153.83,131110.6,53043.23,28.8,18.0,33147.69,5336.72,0,4.1,5,Finance
ORD202400003,2024-01-02 05:13:27.673060884,2024,1,Q1,Germany,Helsinki,Vintage Cars,Petrol,Retail,Dealer,AutoMax,Karthik,3,53350.64,160051.93,7.3,11683.79,148368.14,109196.18,39171.96,26.4,12.0,17804.18,2905.22,0,4.3,6,UPI
ORD202400004,2024-01-02 19:50:11.509591326,2024,1,Q1,Japan,Madrid,Planes,Petrol,Retail,Online,Elite Cars,Arun,1,176109.2,176109.2,14.6,25711.94,150397.26,120113.07,30284.19,20.14,5.0,7519.86,2650.25,0,3.6,11,UPI
ORD202400005,2024-01-03 10:26:55.346121768,2024,1,Q1,Philippines,Berlin,Classic Cars,Hybrid,Retail,Dealer,Prime Motors,Sofia,14,48624.52,680743.24,15.4,104834.46,575908.78,470536.16,105372.62,18.3,8.0,46072.7,20469.86,0,4.7,5,Finance
ORD202400006,2024-01-04 01:03:39.182652210,2024,1,Q1,Austria,New York,Classic Cars,Petrol,Retail,Online,Prime Motors,Karthik,11,57369.83,631068.1,10.3,65000.01,566068.09,490799.8,75268.29,13.3,18.0,101892.26,23702.03,1,4.0,6,Credit Card
ORD202400007,2024-01-04 15:40:23.019182652,2024,1,Q1,Australia,Singapore,Ships,Petrol,Government,Online,Prime Motors,Vikram,12,83553.05,1002636.55,16.0,160421.85,842214.7,699754.75,142459.94,16.91,10.0,84221.47,35758.44,0,3.5,3,Credit Card
ORD202400008,2024-01-05 06:17:06.855713094,2024,1,Q1,France,Singapore,Vintage Cars,Diesel,Retail,Dealer,AutoMax,Rahul,8,46312.44,370499.54,6.7,24823.47,345676.07,300286.83,45389.24,13.13,5.0,17283.8,11582.92,0,4.2,6,Finance
ORD202400009,2024-01-05 20:53:50.692243536,2024,1,Q1,Spain,Toronto,Vintage Cars,Diesel,Corporate,Online,Prime Motors,Priya,14,47030.07,658420.99,10.6,69792.62,588628.36,486936.41,101691.95,17.28,12.0,70635.4,15455.91,1,4.9,11,UPI
ORD202400010,2024-01-06 11:30:34.528773978,2024,1,Q1,Denmark,Toronto,Vintage Cars,Petrol,Fleet,Dealer,City Motors,Arun,10,33630.83,336308.33,14.4,48428.4,287879.93,244237.73,43642.2,15.16,18.0,51818.39,5636.66,0,4.3,7,UPI
ORD202400011,2024-01-07 02:07:18.365304420,2024,1,Q1,Singapore,Singapore,Classic Cars,Hybrid,Fleet,Online,City Motors,Arun,6,36211.94,217271.64,16.4,35632.55,181639.09,155581.04,26058.05,14.35,18.0,32695.04,7449.72,0,3.6,13,Credit Card
ORD202400012,2024-01-07 16:44:02.201834862,2024,1,Q1,Austria,Stockholm,Vintage Cars,Hybrid,Fleet,Online,AutoMax,Rahul,2,40775.29,81550.58,16.7,13618.95,67931.63,53502.37,14429.26,21.24,18.0,12227.69,1740.54,0,3.9,10,UPI
ORD202400013,2024-01-08 07:20:46.038365304,2024,1,Q1,UK,Brussels,Vintage Cars,Diesel,Retail,Online,City Motors,Sneha,13,48789.62,634265.0,8.0,50741.2,583523.8,443063.35,140460.45,24.07,10.0,58352.38,22803.17,0,3.9,12,Cash
ORD202400014,2024-01-08 21:57:29.874895746,2024,1,Q1,Norway,Copenhagen,Planes,Diesel,Retail,Direct Sales,Prime Motors,Meera,4,75681.19,302724.75,2.0,6054.5,296670.26,209259.48,87410.78,29.46,12.0,35600.43,16238.4,0,4.1,15,Credit Card
ORD202400015,2024-01-09 12:34:13.711426188,2024,1,Q1,Belgium,Toronto,Trucks and Buses,Electric,Retail,Direct Sales,Prime Motors,Karthik,8,42292.76,338342.1,1.3,4398.45,333943.66,264721.05,69222.61,20.73,18.0,60109.86,7330.32,0,4.9,8,UPI
ORD202400016,2024-01-10 03:10:57.547956630,2024,1,Q1,Spain,Paris,Motorcycles,Hybrid,Retail,Direct Sales,Elite Cars,Meera,5,21927.83,109639.14,15.7,17213.34,92425.79,69681.76,22744.03,24.61,12.0,11091.09,4150.55,1,3.0,2,Cash
ORD202400017,2024-01-10 17:47:41.384487072,2024,1,Q1,Austria,Stockholm,Vintage Cars,Petrol,Retail,Distributor,City Motors,Sneha,1,32853.05,32853.05,7.0,2299.71,30553.34,26034.03,4519.31,14.79,10.0,3055.33,688.48,1,4.0,11,UPI
ORD202400018,2024-01-11 08:24:25.221017514,2024,1,Q1,Sweden,New York,Classic Cars,Petrol,Corporate,Online,Global Auto,Rahul,15,49319.21,739788.18,5.8,42907.71,696880.46,510954.14,185926.32,26.68,12.0,83625.66,25267.71,0,3.5,9,Cash
ORD202400019,2024-01-11 23:01:09.057547956,2024,1,Q1,Norway,Singapore,Vintage Cars,Electric,Retail,Direct Sales,Global Auto,Daniel,12,37627.71,451532.53,17.3,78115.13,373417.4,264942.69,108474.71,29.05,12.0,44810.09,18387.94,0,4.7,13,Credit Card
ORD202400020,2024-01-12 13:37:52.894078398,2024,1,Q1,Sweden,New York,Motorcycles,Petrol,Retail,Online,Speed Wheels,Ananya,2,15127.11,30254.21,14.7,4447.37,25806.84,23221.58,2585.26,10.02,12.0,3096.82,475.84,1,4.4,6,Bank Transfer
ORD202400021,2024-01-13 04:14:36.730608840,2024,1,Q1,UK,Zurich,Vintage Cars,Petrol,Retail,Direct Sales,Speed Wheels,Sneha,4,68677.58,274710.33,8.1,22251.54,252458.79,202313.83,50144.96,19.86,12.0,30295.06,11360.46,0,4.0,12,UPI
ORD202400022,2024-01-13 18:51:20.567139282,2024,1,Q1,Singapore,Paris,Ships,Hybrid,Retail,Distributor,Prime Motors,Rahul,15,70291.12,1054366.78,5.6,59044.54,995322.24,715056.24,280266.0,28.16,12.0,119438.67,30239.23,0,4.4,6,Finance
ORD202400023,2024-01-14 09:28:04.403669724,2024,1,Q1,USA,New York,Planes,Diesel,Retail,Distributor,Speed Wheels,Meera,2,163841.25,327682.5,12.0,39321.9,288360.6,204085.09,84275.51,29.23,10.0,28836.06,13599.13,0,3.6,12,Cash
ORD202400024,2024-01-15 00:04:48.240200166,2024,1,Q1,Switzerland,London,Trains,Diesel,Corporate,Online,Elite Cars,Arun,10,43681.83,436818.32,4.3,18783.19,418035.13,327387.35,90647.79,21.68,10.0,41803.51,15785.76,0,4.1,11,Cash
ORD202400025,2024-01-15 14:41:32.076730608,2024,1,Q1,Finland,Rome,Motorcycles,Electric,Government,Dealer,Speed Wheels,Daniel,13,15328.68,199272.9,15.6,31086.57,168186.33,145556.92,22629.41,13.45,10.0,16818.63,7056.56,0,3.6,13,Bank Transfer
ORD202400026,2024-01-16 05:18:15.913261050,2024,1,Q1,Philippines,Stockholm,Vintage Cars,Diesel,Retail,Dealer,Speed Wheels,Arun,8,26098.52,208788.17,9.8,20461.24,188326.93,136006.39,52320.54,27.78,5.0,9416.35,6902.75,0,4.3,4,Credit Card
ORD202400027,2024-01-16 19:54:59.749791492,2024,1,Q1,Norway,Rome,Vintage Cars,Diesel,Retail,Direct Sales,Global Auto,Sofia,9,38758.26,348824.34,9.0,31394.19,317430.15,227994.35,89435.8,28.17,12.0,38091.62,6890.1,0,5.0,10,Bank Transfer
ORD202400028,2024-01-17 10:31:43.586321934,2024,1,Q1,India,Rome,Classic Cars,Petrol,Fleet,Dealer,Global Auto,Rahul,10,85504.6,855046.04,3.5,29926.61,825119.43,578357.07,246762.36,29.91,18.0,148521.5,38379.12,0,3.6,13,Credit Card
ORD202400029,2024-01-18 01:08:27.422852377,2024,1,Q1,Norway,Paris,Trucks and Buses,Petrol,Corporate,Dealer,AutoMax,Daniel,15,55978.93,839683.94,13.9,116716.07,722967.87,584219.43,138748.44,19.19,5.0,36148.39,18693.33,0,4.1,12,Cash
